Ontology	Metric	Value
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"NumberOfClassesMetric"	13
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"NamesPerClassMetric"	0.923
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"NamesPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"NamesPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"SynonymsPerClassMetric"	0.154
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DescriptionsPerClassMetric"	1.077
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"ClassesWithNoNameMetric"	0.077
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"ClassesWithNoDescriptionMetric"	0.154
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"ClassesWithNoSynonymMetric"	0.846
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/MFOMD/2020-04-26/MFOMD.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
