"Metric","Cluster_totss_k_2","Cluster_totss_k_3"
"ANOnto","16.3916065313043","16.3916065313043"
"APWND","0.726223757498931","0.726223757498931"
"APWNN","2.05769286270584","2.05769286270584"
"APWNS","",""
"AROnto","145311.70128988","145311.70128988"
"CBOOnto","241.125089888554","241.125089888554"
"CROnto","52436676.5932426","52436676.5932426"
"DITOnto","1938.04878048781","1938.04878048781"
"DxP","7.49403112868227","7.49403112868227"
"INROnto","1.1847931277805","1.1847931277805"
"LCOMOnto","352.066139180302","352.066139180302"
"NACOnto","0.89325309725078","0.89325309725078"
"NLR","728.975609756098","728.975609756098"
"NLRC","64.0487804878049","64.0487804878049"
"NOCOnto","4312.35757015","4312.35757015"
"NOMOnto","451974533.740764","451974533.740764"
"NxP","4.2519789327809","4.2519789327809"
"POnto","8.39163371961831","8.39163371961831"
"PROnto","4.48572178651622","4.48572178651622"
"RFCOnto","451967215.130809","451967215.130809"
"RROnto","4.48572185681733","4.48572185681733"
"SxAP","",""
"SxP","0.292800138256229",""
"TMOnto","0.308480474123681","0.308480474123681"
"TMOnto2","43.2724960794936","43.2724960794936"
"WMCOnto","5913.31017098416","5913.31017098416"
"WMCOnto2","56.5460554761296","56.5460554761296"
