"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"ANOnto","0.791978774718275","0.396455688293061","0.582584199551985","8","9"
"APWND","0.606737857503319","0.80017823759491","0.754662854043948","4","13"
"APWNN","0.857851619945177","0.785217111957051","0.802307584424845","4","13"
"APWNS","0","1","0.941176470588235","1","16"
"AROnto","0.891557560908571","0","0.839112998502184","16","1"
"CBOOnto","0.991669391779416","0","0.933335898145333","16","1"
"CROnto","0.999832350493784","0","0.941018682817679","16","1"
"DITOnto","0.794150518657697","0.818456290028245","0.797010021171879","15","2"
"DxP","0.881257237950122","0.648875937603819","0.812909796671798","12","5"
"INROnto","0.543345544375282","0.507252560216116","0.517868143792341","5","12"
"LCOMOnto","0.752229736662822","0.561898312505536","0.696249906028326","12","5"
"NACOnto","0.871525201243841","0","0.82025901293538","16","1"
"NLR","0.871428571428571","0.703846153846154","0.84185520361991","14","3"
"NLRC","1","0","0.941176470588235","16","1"
"NOCOnto","0.991154911759179","0","0.932851681655698","16","1"
"NOMOnto","0.922934877744148","0","0.868644590818022","16","1"
"NxP","0.774690207273926","0.64122564004546","0.727585065899173","11","6"
"POnto","1","0.880160870795514","0.936555755127037","8","9"
"PROnto","0.801367272274768","0.881640505433124","0.824977046733108","12","5"
"RFCOnto","0.916728729994233","0","0.862803510582807","16","1"
"RROnto","0.881640524282591","0.801367273294998","0.824977052997231","5","12"
"SxAP","1","0","0.941176470588235","16","1"
"SxP","1","0","0.941176470588235","16","1"
"TMOnto","0.877673346326414","0.192535196446459","0.797068858105243","15","2"
"TMOnto2","1","0.907539373866569","0.96736683783526","11","6"
"WMCOnto","0.982858143751939","0","0.925042958825354","16","1"
"WMCOnto2","0.985758991661454","0","0.927773168622545","16","1"
