"Metric","Cluster_mean_k_2","Cluster_mean_k_3"
"ANOnto","0.693400072150072, 0.665634920634921","0.825, 0.964285714285714, 0.924047619047619"
"APWND","0.961506132756133, 0.870833333333333","0.793452380952381, 0.841666666666667, 0.929761904761905"
"APWNN","0.957222222222222, 0.9125","0.545833333333333, 0.86468253968254, 0.829166666666667"
"APWNS","",""
"AROnto","0.958425324675325, 0.65","0.933371212121212, 0.775, 0.65"
"CBOOnto","0.45, 0.922375541125541","0.55, 0.863244949494949, 0.65"
"CROnto","0.908224553224553, 0.65","0.8875, 0.4, 0.906111111111111"
"DITOnto","0.890945165945166, 0.733333333333333","0.945535714285714, 0.925, 0.85"
"DxP","0.966666666666667, 0.99","0.685396825396825, 0.934940476190476, 0.841666666666667"
"INROnto","0.710481601731602, 0.813012543012543","0.800833333333333, 0.75, 0.835714285714286"
"LCOMOnto","0.973412698412698, 0.9375","0.822321428571429, 0.514107142857143, 0.684761904761905"
"NACOnto","0.930353535353535, 0.7","0.913109668109668, 0.75, 0.766666666666667"
"NLR","1, 1",""
"NLRC","",""
"NOCOnto","0.946125541125541, 0.45","0.65, 0.55, 0.883207070707071"
"NOMOnto","0.7, 0.939545454545455","0.7, 0.933035714285714, 0.9875"
"NxP","0.905357142857143, 0.952301587301587","0.6525, 0.943988095238095, 0.809166666666667"
"POnto","1, 1","0.75, 1, 0.918690476190476"
"PROnto","1, 1","0.925833333333333, 0.921071428571429, 0.778928571428571"
"RFCOnto","0.85, 0.972307692307692","0.858333333333333, 0.967777777777778, 0.8"
"RROnto","1, 1","0.925833333333333, 0.921071428571429, 0.778928571428571"
"SxAP","",""
"SxP","",""
"TMOnto","0.93219696969697, 0.725","0.733333333333333, 0.907178932178932, 0.75"
"TMOnto2","1, 1","0.915, 0.75, 1"
"WMCOnto","0.871401515151515, 0.65","0.954285714285714, 0.75, 0.899166666666667"
"WMCOnto2","0.916780303030303, 0.7","0.870117243867244, 0.75, 0.720833333333333"
