"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size"
"ANOnto","0.967406877342446","0.765864798410949","0","0.886789757624479","14","2","1"
"AROnto","0.921749288410986","0","0.530398769655213","0.798466885782851","13","1","3"
"CBOOnto","0.819521613452209","0.316456694099801","0.457695780326663","0.599401543901295","9","6","2"
"CROnto","0.81942823108288","0.695083123394458","0","0.749283316132989","13","3","1"
"DxP","1","0","0.676882716754176","0.903162672559315","14","1","2"
"INROnto","0.725855869249001","0.641659396865542","0.651547339823802","0.692350020968549","10","5","2"
"LCOMOnto","1","0.414421251388938","0","0.872284853104581","14","2","1"
"NACOnto","1","0.389888857640842","0","0.869398689134217","14","2","1"
"NOCOnto","0.744714944150969","0.716961899525057","0.350679227546035","0.69509273694734","13","2","2"
"NOMOnto","1","0.22241612718639","0","0.849696014963105","14","2","1"
"NxP","1","0","0.266370961780944","0.854867171974229","14","1","2"
"POnto","1","0","0","0.882352941176471","15","1","1"
"PROnto","1","0","0.596562324012738","0.893713214589734","14","1","2"
"RFCOnto","0.927217180622505","0.499573971697397","0","0.822364027771168","14","2","1"
"RROnto","0.596562324012738","0","1","0.893713214589734","2","1","14"
"WMCOnto","0","1","0.0795988547292449","0.832893982909323","1","14","2"
"WMCOnto2","0","0.971726383914754","0","0.857405632865959","1","15","1"
