"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"ACTRIS_CL",0,1,1,1,0,2,32.66667,1,1,1,2,0,0,0.6666667,1,0,0,1,0,0,2,0,0,0,0,0,0.6666667,1,0,0,0,0,0,1,1
"BCO",1.208661,0.6666667,0.5959596,0.989899,49.91732,1.873913,0.2519685,0.3,0.04761905,0.7857143,36,0.8199052,0.8683652,1.059055,4.875598,0.009478673,0.02843602,1.049383,6,2,2.923913,4.704724,0.9668246,0.910828,0.9685039,0.8162568,6.401575,0.1837432,0.01010101,0.3696682,0.1231423,0.03952569,2.1,6.290123,1.290123
"DSW",1.473684,1,1,1,7.368421,2.571429,0,0.07142857,0,1,4,1.642857,1.580645,0.9473684,1.4375,0.07142857,0.07142857,1,1,1,6,5.526316,1,0.6774194,0.3157895,0.8536585,6.473684,0.1463415,0,0,0,0,0,1.4375,1
"ELTER_CL",0,1,1,1,0,4,116.2,1,1,1,2,0,0,0.8,1,0,0,1,0,0,4,0,0,0,0,0,0.8,1,0,0,0,0,0,1,1
"ENDEMISMS",0,1,1,1,0,2,5,1,1,1,2,0,0,0.6666667,1,0,0,1,0,0,2,0,0,0,0,0,0.6666667,1,0,0,0,0,0,1,1
"ENVTHES",0,1,1,1,0,3,1441.75,1,1,1,2,0,0,0.75,1,0,0,1,0,0,3,0,0,0,0,0,0.75,1,0,0,0,0,0,1,1
"EURIO",1.058824,1,1,1,27.21569,3.529412,0,0.46,0.46,1,3,1.08,1.712,1.176471,1.5,0,0,1.238095,0,0,6.666667,8.686275,0.54,0.872,0.1764706,0.8807157,9.862745,0.1192843,0,0,0,0,0,1.857143,1.238095
"FISHTRAITS",0,1,1,1,0,2,48.66667,1,1,1,2,0,0,0.6666667,1,0,0,1,0,0,2,0,0,0,0,0,0.6666667,1,0,0,0,0,0,1,1
"I-ADOPT",1.666667,1,1,1,1.666667,5,0,0,0,1,2,1,0.3448276,0.8333333,1,0,0,1,0,0,5,6,1,0.3448276,0,0.8780488,6.833333,0.1219512,0,0,0,0,0,1,1
"MACROALGAETRAITS",0,1,1,1,0,2,36.33333,1,1,1,2,0,0,0.6666667,1,0,0,1,0,0,2,0,0,0,0,0,0.6666667,1,0,0,0,0,0,1,1
"MR",0.4444444,1,1,1,13.33333,3.333333,0.2222222,0.75,0.75,1,4,0.25,0.1923077,1.111111,1.833333,0,0,1.25,0,0,2,12.55556,0.25,0.4423077,0.4444444,0.9186992,13.66667,0.08130081,0,0,0,0.25,2,2.75,1.5
"PCO",1.121622,0.6629213,0.5280899,1,36.71622,1.580645,0.08108108,0.3333333,0.004901961,0.5980392,32,0.8146341,0.6969697,1.09009,7.211679,0.004878049,0.02439024,1.138614,5,1,2,2.707207,1.014634,0.8585859,1.063063,0.71293,4.252252,0.28707,0,0.9512195,0.3232323,0.09502262,2,9.782178,1.356436
"PHYTOTRAITS",0,1,1,1,0,2,31.33333,1,1,1,2,0,0,0.6666667,1,0,0,1,0,0,2,0,0,0,0,0,0.6666667,1,0,0,0,0,0,1,1
"ZOOPLANKTRAITS",0,1,1,1,0,2,19,1,1,1,2,0,0,0.6666667,1,0,0,1,0,0,2,0,0,0,0,0,0.6666667,1,0,0,0,0,0,1,1
